target,vehicle,time,dt
108368,veh34,263,inf
108368,veh37,266,3.000000
108368,veh23,278,12.000000
108368,veh25,294,16.000000
108368,veh94,297,3.000000
108368,veh9,360,63.000000
108368,veh66,363,3.000000
108368,veh91,366,3.000000
108368,veh53,369,3.000000
108368,veh22,371,2.000000
108368,veh17,375,4.000000
108368,veh57,377,2.000000
108368,veh42,380,3.000000
108368,veh29,385,5.000000
108368,veh6,388,3.000000
108368,veh31,390,2.000000
108368,veh4,442,52.000000
4544836447,veh30,530,inf
108368,veh11,533,91.000000
108368,veh59,537,4.000000
108368,veh85,540,3.000000
108368,veh86,543,3.000000
4544836447,veh81,635,105.000000
4544836447,veh62,704,69.000000
4544836447,veh21,728,24.000000
4544836447,veh54,732,4.000000
4544836447,veh65,741,9.000000
4544836447,veh13,811,70.000000
4544836447,veh60,815,4.000000
4544836447,veh44,822,7.000000
273783,veh95,855,inf
4544836447,veh99,886,64.000000
4544836447,veh28,897,11.000000
273783,veh45,945,90.000000
273783,veh35,951,6.000000
273783,veh89,954,3.000000
273783,veh39,962,8.000000
4544836447,veh74,985,88.000000
4544836447,veh84,988,3.000000
4544836447,veh83,1003,15.000000
273783,veh14,1036,74.000000
273783,veh5,1047,11.000000
273783,veh87,1051,4.000000
273783,veh36,1054,3.000000
273783,veh56,1058,4.000000
4544836447,veh88,1075,72.000000
4544836447,veh58,1079,4.000000
4544836447,veh64,1095,16.000000
4544836447,veh51,1098,3.000000
273783,veh90,1127,69.000000
273783,veh92,1137,10.000000
273783,veh33,1141,4.000000
273783,veh20,1144,3.000000
273783,veh77,1147,3.000000
273783,veh72,1151,4.000000
273783,veh80,1195,44.000000
273783,veh48,1221,26.000000
273783,veh47,1225,4.000000
273783,veh78,1228,3.000000
273783,veh19,1231,3.000000
273783,veh27,1235,4.000000
273783,veh75,1239,4.000000
273783,veh68,1285,46.000000
273783,veh69,1289,4.000000
273783,veh16,1311,22.000000
273783,veh38,1315,4.000000
273783,veh73,1318,3.000000
273783,veh71,1322,4.000000
273783,veh70,1325,3.000000
273783,veh32,1329,4.000000
273783,veh49,1381,52.000000
273783,veh3,1384,3.000000
273783,veh55,1388,4.000000
273783,veh2,1392,4.000000
273783,veh12,1395,3.000000
273783,veh76,1399,4.000000
273783,veh18,1403,4.000000
273783,veh26,1407,4.000000
273783,veh40,1410,3.000000
273783,veh10,1413,3.000000
273783,veh46,1417,4.000000
273783,veh79,1421,4.000000
273783,veh98,1424,3.000000
273783,veh8,1468,44.000000
273783,veh15,1490,22.000000
273783,veh93,1494,4.000000
273783,veh97,1498,4.000000
273783,veh61,1502,4.000000
273783,veh50,1506,4.000000
