target,vehicle,time,dt
25471086,veh1,348,inf
25471086,veh12,436,88.000000
25471086,veh79,440,4.000000
25471086,veh39,445,5.000000
25471086,veh41,448,3.000000
25471086,veh35,452,4.000000
25471086,veh75,526,74.000000
25471086,veh89,530,4.000000
25471086,veh3,533,3.000000
25471086,veh16,538,5.000000
25471086,veh8,542,4.000000
25471086,veh40,616,74.000000
25471086,veh80,620,4.000000
25471086,veh13,623,3.000000
25471086,veh46,627,4.000000
25471086,veh2,631,4.000000
25471086,veh42,705,74.000000
25471086,veh88,709,4.000000
25471086,veh71,713,4.000000
25471086,veh69,716,3.000000
25471086,veh67,720,4.000000
25471086,veh84,795,75.000000
25471086,veh65,800,5.000000
25471086,veh48,805,5.000000
25471086,veh97,809,4.000000
25471086,veh24,813,4.000000
25471086,veh20,886,73.000000
25471086,veh36,890,4.000000
25471086,veh54,894,4.000000
25471086,veh92,898,4.000000
25471086,veh29,902,4.000000
25471086,veh72,978,76.000000
25471086,veh11,982,4.000000
25471086,veh47,986,4.000000
25471086,veh17,990,4.000000
25471086,veh74,994,4.000000
25471086,veh0,1066,72.000000
25471086,veh25,1072,6.000000
25471086,veh52,1075,3.000000
25471086,veh45,1078,3.000000
25471086,veh26,1083,5.000000
25471086,veh83,1157,74.000000
25471086,veh61,1161,4.000000
25471086,veh51,1164,3.000000
25471086,veh49,1168,4.000000
25471086,veh59,1248,80.000000
25471086,veh68,1251,3.000000
25471086,veh93,1255,4.000000
25471086,veh28,1258,3.000000
25471086,veh70,1262,4.000000
25471086,veh94,1335,73.000000
25471086,veh34,1339,4.000000
25471086,veh95,1343,4.000000
25471086,veh32,1347,4.000000
25471086,veh76,1350,3.000000
25471086,veh77,1426,76.000000
25471086,veh33,1430,4.000000
25471086,veh91,1434,4.000000
25471086,veh90,1437,3.000000
25471086,veh56,1441,4.000000
25471086,veh73,1516,75.000000
25471086,veh19,1519,3.000000
25471086,veh22,1523,4.000000
25471086,veh86,1527,4.000000
25471086,veh15,1530,3.000000
25471086,veh78,1607,77.000000
25471086,veh43,1610,3.000000
25471086,veh5,1615,5.000000
25471086,veh53,1619,4.000000
25471086,veh9,1622,3.000000
25471086,veh57,1695,73.000000
25471086,veh37,1698,3.000000
25471086,veh63,1702,4.000000
25471086,veh98,1705,3.000000
25471086,veh66,1709,4.000000
25471086,veh21,1787,78.000000
25471086,veh44,1790,3.000000
25471086,veh4,1794,4.000000
25471086,veh10,1798,4.000000
25471086,veh82,1801,3.000000
25471086,veh31,1875,74.000000
25471086,veh14,1880,5.000000
25471086,veh85,1884,4.000000
25471086,veh87,1888,4.000000
25471086,veh60,1892,4.000000
25471086,veh99,1965,73.000000
25471086,veh6,1969,4.000000
25471086,veh50,1974,5.000000
25471086,veh27,1978,4.000000
25471086,veh58,1981,3.000000
25471086,veh30,2055,74.000000
25471086,veh96,2059,4.000000
25471086,veh7,2063,4.000000
25471086,veh64,2067,4.000000
25471086,veh55,2071,4.000000
25471086,veh62,2146,75.000000
25471086,veh81,2149,3.000000
25471086,veh23,2153,4.000000
25471086,veh38,2157,4.000000
25471086,veh18,2161,4.000000
