target,vehicle,time,dt
25471086,veh13,346,inf
25471086,veh37,349,3.000000
25471086,veh29,438,89.000000
25471086,veh58,442,4.000000
25471086,veh12,446,4.000000
25471086,veh31,449,3.000000
25471086,veh76,452,3.000000
25471086,veh3,526,74.000000
25471086,veh30,530,4.000000
25471086,veh49,534,4.000000
25471086,veh78,538,4.000000
25471086,veh45,617,79.000000
25471086,veh52,620,3.000000
25471086,veh82,624,4.000000
25471086,veh15,628,4.000000
25471086,veh22,632,4.000000
25471086,veh61,705,73.000000
25471086,veh41,709,4.000000
25471086,veh67,713,4.000000
25471086,veh38,797,84.000000
25471086,veh72,800,3.000000
25471086,veh11,804,4.000000
25471086,veh48,808,4.000000
25471086,veh6,885,77.000000
25471086,veh64,890,5.000000
25471086,veh23,894,4.000000
25471086,veh27,980,86.000000
25471086,veh92,985,5.000000
25471086,veh65,989,4.000000
25471086,veh16,1070,81.000000
25471086,veh39,1074,4.000000
25471086,veh57,1077,3.000000
25471086,veh75,1081,4.000000
25471086,veh34,1085,4.000000
25471086,veh60,1156,71.000000
25471086,veh59,1160,4.000000
25471086,veh95,1164,4.000000
25471086,veh63,1247,83.000000
25471086,veh96,1251,4.000000
25471086,veh5,1255,4.000000
25471086,veh35,1259,4.000000
25471086,veh0,1262,3.000000
25471086,veh87,1336,74.000000
25471086,veh43,1340,4.000000
25471086,veh18,1344,4.000000
25471086,veh7,1348,4.000000
25471086,veh4,1426,78.000000
25471086,veh71,1431,5.000000
25471086,veh73,1434,3.000000
25471086,veh56,1438,4.000000
25471086,veh26,1442,4.000000
25471086,veh46,1517,75.000000
25471086,veh84,1520,3.000000
25471086,veh97,1524,4.000000
25471086,veh86,1528,4.000000
25471086,veh91,1532,4.000000
25471086,veh42,1605,73.000000
25471086,veh19,1609,4.000000
25471086,veh8,1613,4.000000
25471086,veh24,1617,4.000000
25471086,veh47,1622,5.000000
25471086,veh55,1696,74.000000
25471086,veh20,1701,5.000000
25471086,veh94,1704,3.000000
25471086,veh1,1708,4.000000
25471086,veh69,1712,4.000000
25471086,veh17,1786,74.000000
25471086,veh79,1791,5.000000
25471086,veh10,1794,3.000000
25471086,veh51,1875,81.000000
25471086,veh77,1880,5.000000
25471086,veh99,1883,3.000000
25471086,veh62,1887,4.000000
25471086,veh85,1891,4.000000
25471086,veh90,1966,75.000000
25471086,veh80,1971,5.000000
25471086,veh93,1974,3.000000
25471086,veh53,1978,4.000000
25471086,veh50,1982,4.000000
25471086,veh88,2057,75.000000
25471086,veh9,2062,5.000000
25471086,veh36,2066,4.000000
25471086,veh25,2069,3.000000
25471086,veh14,2146,77.000000
25471086,veh66,2151,5.000000
25471086,veh89,2154,3.000000
25471086,veh54,2158,4.000000
