id,source,destination,shortest.path.length,diversion.path.length,sample.time,sample.time.diff,target.id
veh0,26592065,288167137,645.473,671.500,1262,3.000000,25471086
veh1,4844725951,618348964,685.291,707.360,1708,4.000000,25471086
veh2,26592107,cluster_122526274_48932366,677.137,,,,
veh3,cluster_2322273093_26592033_26592053,198247,559.080,583.381,526,74.000000,25471086
veh4,26592056,648861173,591.798,625.561,1426,78.000000,25471086
veh5,12816085,cluster_18060028_6565224970,629.934,659.737,1255,4.000000,25471086
veh6,3024783796,122712630,592.478,613.678,885,77.000000,25471086
veh7,26592065,2312962818,621.587,657.265,1348,4.000000,25471086
veh8,26592960,2058123412,650.710,674.371,1613,4.000000,25471086
veh9,5297943105,48311975,657.301,678.501,2062,5.000000,25471086
veh10,26592960,6202453737,647.789,670.910,1794,3.000000,25471086
veh11,5167408132,106841,557.805,583.461,804,4.000000,25471086
veh12,1691695930,cluster_106831_2624855755,523.267,549.330,446,4.000000,25471086
veh13,1691695945,4712600953,538.402,567.458,346,inf,25471086
veh14,619174396,cluster_1841340870_28800409,662.353,686.042,2146,77.000000,25471086
veh15,96072412,4712600953,583.577,609.572,628,4.000000,25471086
veh16,1691695939,648861165,587.219,609.896,1070,81.000000,25471086
veh17,26592050,cluster_1841340870_28800409,661.553,685.445,1786,74.000000,25471086
veh18,2689677100,26662534,632.975,654.175,1344,4.000000,25471086
veh19,cluster_26592975_96071420,34223057,660.142,683.139,1609,4.000000,25471086
veh20,cluster_26592975_96071420,cluster_1841340870_28800409,659.078,680.370,1701,5.000000,25471086
veh21,364653499,cluster_106831_2624855755,633.530,,,,
veh22,96072412,18060025,622.981,647.272,632,4.000000,25471086
veh23,2681420503,5659817721,594.637,616.487,894,4.000000,25471086
veh24,26592061,4712600953,656.875,681.447,1617,4.000000,25471086
veh25,5297943105,cluster_122526274_48932366,670.496,693.868,2069,3.000000,25471086
veh26,5156156815,cluster_18060013_6338662282_648861182,637.823,661.982,1442,4.000000,25471086
veh27,3024783796,1841352339,599.356,622.187,980,86.000000,25471086
veh28,95960626,48300366,653.010,,,,
veh29,1691695945,48695355,516.183,537.718,438,89.000000,25471086
veh30,1691695889,18060031,548.680,573.091,530,4.000000,25471086
veh31,1691695930,108647,577.382,602.884,449,3.000000,25471086
veh32,5167408132,106840,633.771,,,,
veh33,26592093,560720542,662.284,,,,
veh34,26592073,1163157561,614.009,635.353,1085,4.000000,25471086
veh35,12816085,18060026,612.920,640.173,1259,4.000000,25471086
veh36,5297943105,198242,647.781,670.073,2066,4.000000,25471086
veh37,1691695943,4712600953,540.624,567.458,349,3.000000,25471086
veh38,1691695944,900714116,563.283,586.194,797,84.000000,25471086
veh39,26592084,648861167,583.433,605.358,1074,4.000000,25471086
veh40,2681420503,4712600953,657.088,,,,
veh41,5164153626,34223059,582.286,606.790,709,4.000000,25471086
veh42,26592103,198281,699.071,720.638,1605,73.000000,25471086
veh43,cluster_26592071_26592100,672650549,618.059,654.046,1340,4.000000,25471086
veh44,18129872,cluster_18060013_6338662282_648861182,656.311,,,,
veh45,1691695885,106840,534.213,557.104,617,79.000000,25471086
veh46,5162003756,560720546,628.568,650.024,1517,75.000000,25471086
veh47,26592065,1812773807,703.656,724.856,1622,5.000000,25471086
veh48,2322279888,34223059,585.590,606.790,808,4.000000,25471086
veh49,1691695930,2058123414,570.687,592.141,534,4.000000,25471086
veh50,26592131,2714971493,665.588,688.325,1982,4.000000,25471086
veh51,26592960,2058123412,651.792,674.371,1875,81.000000,25471086
veh52,1691695885,48695355,538.990,560.514,620,3.000000,25471086
veh53,4844725950,48311988,664.656,687.265,1978,4.000000,25471086
veh54,26592142,648861106,699.948,724.141,2158,4.000000,25471086
veh55,26592140,198282,708.244,729.996,1696,74.000000,25471086
veh56,cluster_26592071_26592100,1812773806,672.523,696.954,1438,4.000000,25471086
veh57,95960626,648861173,573.049,594.249,1077,3.000000,25471086
veh58,1691695945,900714117,507.160,529.277,442,4.000000,25471086
veh59,26592185,cluster_1841340870_28800409,601.869,632.876,1160,4.000000,25471086
veh60,26592048,108645,637.680,659.875,1156,71.000000,25471086
veh61,2322279888,648861173,554.761,575.961,705,73.000000,25471086
veh62,864927973,6199865127,654.856,678.722,1887,4.000000,25471086
veh63,26592068,985081814,643.919,665.332,1247,83.000000,25471086
veh64,26592048,659503803,588.521,612.496,890,5.000000,25471086
veh65,26592185,28800413,582.377,603.577,989,4.000000,25471086
veh66,619174396,48695361,651.961,675.110,2151,5.000000,25471086
veh67,1691695943,26662534,598.859,620.676,713,4.000000,25471086
veh68,95960626,648861102,717.380,,,,
veh69,cluster_26592975_96071420,6199865127,661.521,686.337,1712,4.000000,25471086
veh70,26592093,cluster_108590_648861112,696.019,,,,
veh71,2681420503,900714118,588.269,617.575,1431,5.000000,25471086
veh72,1691695943,18059999,627.768,649.311,800,3.000000,25471086
veh73,26592056,18060014,618.614,642.838,1434,3.000000,25471086
veh74,3304932559,47855253,640.302,,,,
veh75,26592185,cluster_1841340870_28800409,601.985,632.876,1081,4.000000,25471086
veh76,858395757,1163157561,561.554,586.464,452,3.000000,25471086
veh77,26592960,18059989,638.623,660.653,1880,5.000000,25471086
veh78,18129872,648861171,532.076,554.330,538,4.000000,25471086
veh79,26592050,108594,704.959,728.137,1791,5.000000,25471086
veh80,26592960,cluster_106831_2624855755,636.817,658.384,1971,5.000000,25471086
veh81,4844725944,969168443,660.155,,,,
veh82,cluster_2322273093_26592033_26592053,cluster_18060034_48677470,602.323,629.668,624,4.000000,25471086
veh83,26592084,6199865127,674.903,,,,
veh84,5156156815,108647,671.162,697.229,1520,3.000000,25471086
veh85,864927946,4712600953,665.490,688.807,1891,4.000000,25471086
veh86,5156156815,18059999,696.478,718.266,1528,4.000000,25471086
veh87,26607505,648861122,633.569,655.274,1336,74.000000,25471086
veh88,619174398,198242,646.087,670.073,2057,75.000000,25471086
veh89,4844725951,648861167,654.069,677.722,2154,3.000000,25471086
veh90,26592137,1812773806,703.694,725.807,1966,75.000000,25471086
veh91,364653543,659503980,684.690,712.256,1532,4.000000,25471086
veh92,3024783793,5179015875,578.909,600.109,985,5.000000,25471086
veh93,4844725951,cluster_1841441881_1841441899,693.062,716.175,1974,3.000000,25471086
veh94,96071393,648861122,681.971,707.843,1704,3.000000,25471086
veh95,26593078,648861165,593.183,615.136,1164,4.000000,25471086
veh96,26592185,648861102,652.482,681.055,1251,4.000000,25471086
veh97,2689677100,198281,674.346,697.900,1524,4.000000,25471086
veh98,26592107,10530339,633.747,,,,
veh99,619174398,648861123,665.850,688.682,1883,3.000000,25471086
