target,vehicle,time,dt
364267,veh65,229,229.000000
364267,veh72,229,0.000000
364267,veh75,231,2.000000
364267,veh56,232,1.000000
364267,veh79,233,1.000000
364267,veh38,234,1.000000
364267,veh30,319,85.000000
364267,veh9,319,0.000000
6367449791,veh78,370,370.000000
364267,veh77,409,90.000000
cluster_107746_1953749496_1953749503_1953749509_25510400_2684185944_3247619605_33674189_4973652540_4973987584_4973987585_4973987593_4973987594_4973987596_5337290080_5374013563_543389746_543389756_6366355646,veh1,441,441.000000
6367449791,veh67,461,91.000000
280412704,veh90,926,926.000000
